id,code,name,user_type_id:id,group_id:id,reconcile,chart_template_id:id
rrif_account_2420,2420,KUPCI - inozemni,account.data_account_type_receivable,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2440,2440,KUPCI - za naplatu - zakonski rok,account.data_account_type_receivable,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2600,2600,OSTALA POTRAŽIVANJA,account.data_account_type_receivable,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2700,2700,DUGOROČNA POTRAŽIVANJA,account.data_account_type_non_current_assets,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2800,2800,DOBROVOLJNI FINANCIJSKI IMUŠTUNI - udjeli,account.data_account_type_non_current_assets,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_3000,3000,RAZDOBSNI TROŠKOVI PROIZVODNJE,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_2,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_3210,3210,TROŠKOVI PROIZVODNJE - materijal,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_2,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_3220,3220,TROŠKOVI PROIZVODNJE - plaće,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_2,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4000,4000,TROŠKOVI NABAVE - materijal,account.data_account_type_direct_costs,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4110,4110,TROŠKOVI NABAVE - trgovačka roba,account.data_account_type_direct_costs,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4200,4200,SKUPNI TROŠKOVI NABAVE,account.data_account_type_direct_costs,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4300,4300,TROŠAK PRODAJE,account.data_account_type_direct_costs,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4400,4400,TROŠAK REKLAME,account.data_account_type_direct_costs,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4500,4500,TROŠAK POSLOVANJA - najamnine,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4600,4600,TROŠAK POSLOVANJA - osiguranje,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4700,4700,TROŠAK POSLOVANJA - gorivo i energija,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4800,4800,TROŠAK POSLOVANJA - održavanje,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_4900,4900,OSTALI TROŠKOVI POSLOVANJA,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_3,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5010,5010,PLAĆE I NAKNADE - djelatnici,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_4,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5020,5020,PLAĆE I NAKNADE - uprava,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_4,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5030,5030,OSTALE NAKNADE DJELATNICIMA,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_4,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5100,5100,AMORTIZACIJA STENVENIH SREDSTAVA,account.data_account_type_depreciation,l10n_hr_coa_rrif_2022.rrif_class_4,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5200,5200,TROŠKOVI AMORTIZACIJE OSTALIH SREDSTAVA,account.data_account_type_depreciation,l10n_hr_coa_rrif_2022.rrif_class_4,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5400,5400,FINANCIJSKI TROŠKOVI - kamate,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_5,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5420,5420,FINANCIJSKI TROŠKOVI - tečajne razlike,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_5,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5440,5440,FINANCIJSKI TROŠKOVI - bankarske usluge,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_5,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5460,5460,OSTALI FINANCIJSKI TROŠKOVI,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_5,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_5500,5500,OSTALI RASHODI - rezerviranja,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_5,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_6000,6000,PRIHODI OD PRODAJE - proizvodi,account.data_account_type_revenue,l10n_hr_coa_rrif_2022.rrif_class_6,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_6100,6100,PRIHODI OD PRODAJE - trgovačka roba,account.data_account_type_revenue,l10n_hr_coa_rrif_2022.rrif_class_6,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_6200,6200,PRIHODI OD USLUGA,account.data_account_type_revenue,l10n_hr_coa_rrif_2022.rrif_class_6,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_6300,6300,OSTALI PRIHODI OD PRODAJE,account.data_account_type_revenue,l10n_hr_coa_rrif_2022.rrif_class_6,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_6400,6400,POVRAT NABAVNE VRIJEDNOSTI PRODANIH PROIZVODA,account.data_account_type_revenue,l10n_hr_coa_rrif_2022.rrif_class_6,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_6600,6600,OSTALI PRIHODI - subvencije,account.data_account_type_other_income,l10n_hr_coa_rrif_2022.rrif_class_6,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_6700,6700,OSTALI PRIHODI - kazne i penali,account.data_account_type_other_income,l10n_hr_coa_rrif_2022.rrif_class_6,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_8000,8000,FINANCIJSKI PRIHODI - kamate,account.data_account_type_other_income,l10n_hr_coa_rrif_2022.rrif_class_8,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_8100,8100,FINANCIJSKI PRIHODI - tečajne razlike,account.data_account_type_other_income,l10n_hr_coa_rrif_2022.rrif_class_8,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_8300,8300,OSTALI FINANCIJSKI PRIHODI,account.data_account_type_other_income,l10n_hr_coa_rrif_2022.rrif_class_8,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_9000,9000,IZVANREDNI PRIHODI,account.data_account_type_other_income,l10n_hr_coa_rrif_2022.rrif_class_9,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_9100,9100,IZVANREDNI RASHODI,account.data_account_type_expenses,l10n_hr_coa_rrif_2022.rrif_class_9,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1200_dobavljaci,1200,DOBAVLJAČI - domaći,account.data_account_type_payable,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1210_dobavljaci_inoz,1210,DOBAVLJAČI - inozemni,account.data_account_type_payable,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1600_ziro,1600,ŽIRO RAČUN - banka,account.data_account_type_liquidity,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1610_devizni,1610,DEVIZNI RAČUN,account.data_account_type_liquidity,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_1700_gotovina,1700,GOTOVINA - blagajna,account.data_account_type_liquidity,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2700_kapital,2700,KAPITAL - temeljni,account.data_account_type_equity,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2710_rezerve,2710,REZERVE,account.data_account_type_equity,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_2900_zadrzano,2900,ZADRŽANA DOBIT TEKUĆEG Razdoblja,account.data_account_type_equity,l10n_hr_coa_rrif_2022.rrif_class_0,False,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_3000_pdv_ulazni,3001,PDV - ULAZNI (predporez),account.data_account_type_current_assets,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_3002_pdv_izlazni,3002,PDV - IZLAZNI,account.data_account_type_current_liabilities,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_3050_obveze_zaposleni,3050,OBVEZE PREMA ZAPOSLENICIMA - plaće,account.data_account_type_current_liabilities,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_3060_porezi_prirez,3060,OBVEZE ZA POREZ I PRIREZ,account.data_account_type_current_liabilities,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
rrif_account_3070_doprinosi,3070,OBVEZE ZA DOPRINOSE,account.data_account_type_current_liabilities,l10n_hr_coa_rrif_2022.rrif_class_0,True,l10n_hr_coa_rrif_2022.hr_chart_template
